title,region,startYear,runtimeMinutes,genres,averageRating,numVotes,tconst,nconst,category,pname,byear,kftitles,Thriller,History,Comedy,Romance,Western,Sci-Fi,News,Family,Drama,Musical,Biography,Adventure,Horror,War,Animation,Action,Sport,Music,Documentary,Crime,Mystery,Fantasy,region_num,nconst_num,category_num
Two Lottery Tickets,GB,2016.0,86.0,Comedy,7.7,11280,tt5700224,nm1058007,actor,Dragos Bucur,1977,"tt0297213,tt1023114,tt1408253,tt5566714",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6442,2
Dernier train pour Busan,FR,2016.0,118.0,"Action,Horror,Thriller",7.6,207181,tt5700672,nm3011350,actor,Ma Dong-seok,1971,"tt9032400,tt5700672,tt2195490,tt0901487",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9736,2
I Don't Feel at Home in This World Anymore.,FR,2017.0,93.0,"Comedy,Crime,Drama",6.9,56359,tt5710514,nm0001491,actress,Melanie Lynskey,1977,"tt0110005,tt1193138,tt4872078,tt3061830",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2384,0
Madaari,GB,2016.0,133.0,"Adventure,Drama,Thriller",7.6,14218,tt5713232,nm0792116,actor,Jimmy Shergill,1970,"tt2140465,tt0213890,tt1188996,tt1280558",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5056,2
Black Butler: Book of Murder,AU,2014.0,116.0,"Adventure,Animation,Crime",8.0,1031,tt5714216,nm0757087,actress,Maaya Sakamoto,1980,"tt0385700,tt1155650,tt1233474,tt1345776",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,23,5373,0
Mise à mort du cerf sacré,FR,2017.0,121.0,"Drama,Horror,Mystery",7.0,146443,tt5715874,nm3864163,actress,Raffey Cassidy,2002,"tt1964418,tt1735898,tt5960374,tt5715874",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8457,0
Breathe,FR,2017.0,118.0,"Biography,Drama,Romance",7.1,22032,tt5716464,nm1940449,actor,Andrew Garfield,1983,"tt1872181,tt2119532,tt0948470,tt1285016",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6222,2
The Colour of Darkness,GB,2017.0,130.0,Drama,8.5,1036,tt5717184,nm0385458,actor,Derryn Hinch,1944,"tt0086321,tt0087007,tt5717184,tt1024932",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9741,2
Un coeur à prendre,FR,2017.0,97.0,"Comedy,Drama,Romance",5.8,31715,tt5719700,nm0790688,actor,Michael Sheen,1969,"tt2137109,tt0436697,tt1605783,tt0870111",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4782,2
Sang froid,FR,2019.0,119.0,"Action,Comedy,Crime",6.2,67393,tt5719748,nm0000368,actress,Laura Dern,1967,"tt0090756,tt0107290,tt7653254,tt2305051",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,616,0
In the Fade,FR,2017.0,106.0,"Crime,Drama,Thriller",7.1,32054,tt5723272,nm0100196,actor,Adam Bousdoukos,1974,"tt1487118,tt0162426,tt0347048,tt1244668",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7483,2
Wheelman,FR,2017.0,82.0,"Action,Crime,Thriller",6.4,20066,tt5723286,nm0342029,actor,Frank Grillo,1965,"tt1291584,tt2975578,tt1601913,tt1843866",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8012,2
Insidious: la dernière clé,FR,2018.0,103.0,"Horror,Mystery,Thriller",5.7,58780,tt5726086,nm1191481,actor,Leigh Whannell,1977,"tt1051906,tt6499752,tt0387564,tt2490326",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5404,2
Call Me by Your Name,FR,2017.0,132.0,"Drama,Romance",7.9,255280,tt5726616,nm2309517,actor,Armie Hammer,1986,"tt1210819,tt1285016,tt5726616,tt1638355",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7390,2
