|tconst|nconst|name|french_title|byear|job|startyear|runtimeminutes|averagerating|numvotes|wr_score|genres|original_lang
718773|tt1600195|nm1210124|Taylor Lautner|Identité secrète|1992.0|actor,producer,soundtrack|2011.0|106.0|5.1|79899|5.100825238610213|Action,Mystery,Thriller|en
719065|tt3371366|nm1082477|Omar Sy|Transformers : The Last Knight|1978.0|actor,writer,producer|2017.0|154.0|5.2|147405|5.200404750384829|Action,Adventure,Sci-Fi|en
724876|tt0019344|nm0841797|Gloria Swanson|Faiblesse humaine|1899.0|actress,soundtrack,producer|1928.0|97.0|7.3|2691|7.27363388879806|Drama|en
724878|tt0081182|nm0002769|Romy Schneider|La Mort en direct|1938.0|actress,soundtrack|1980.0|130.0|6.6|3031|6.590784657320574|Drama,Sci-Fi,Thriller|fr
724919|tt0073155|nm0002769|Romy Schneider|L'Important c'est d'aimer|1938.0|actress,soundtrack|1975.0|109.0|7.1|3926|7.084955560228091|Drama,Romance|fr
724950|tt0050974|nm0002769|Romy Schneider|Sissi face à son destin|1938.0|actress,soundtrack|1957.0|109.0|6.6|5299|6.594682530725449|Drama,History,Romance|de
724976|tt0048624|nm0002769|Romy Schneider|Sissi|1938.0|actress,soundtrack|1955.0|102.0|7.0|8712|6.993878943561238|Comedy,Drama,History|de
725722|tt0301414|nm0496312|Patrice Leconte|L'Homme du train|1947.0|director,writer,camera_department|2002.0|90.0|7.1|7184|7.091719018869857|Crime,Drama,Thriller|fr
725725|tt0301414|nm0734000|Jean Rochefort|L'Homme du train|1930.0|actor,soundtrack,director|2002.0|90.0|7.1|7184|7.091719018869857|Crime,Drama,Thriller|fr
726185|tt1602620|nm0359734|Michael Haneke|Amour|1942.0|director,writer,actor|2012.0|127.0|7.9|98663|7.8988816292541975|Drama|fr
726524|tt0416449|nm0811583|Zack Snyder|300|1966.0|director,producer,writer|2006.0|117.0|7.6|798886|7.599885459184191|Action,Drama|en
728795|tt2660888|nm1154749|Sofia Boutella|Star Trek  : Sans limites|1982.0|actress|2016.0|122.0|7.0|241781|6.999777905301557|Action,Adventure,Sci-Fi|en
736149|tt0203166|nm0600546|Lukas Moodysson|Together|1969.0|writer,director,camera_department|2000.0|106.0|7.4|22665|7.396527971213915|Comedy,Drama,Romance|sv
742429|tt0232500|nm0004874|Vin Diesel|Fast and Furious|1967.0|producer,actor,director|2001.0|106.0|6.8|376350|6.799890778824722|Action,Crime,Thriller|en
742540|tt0232500|nm0735442|Michelle Rodriguez|Fast and Furious|1978.0|actress,producer|2001.0|106.0|6.8|376350|6.799890778824722|Action,Crime,Thriller|en
742564|tt0232500|nm0908094|Paul Walker|Fast and Furious|1973.0|actor,producer,miscellaneous|2001.0|106.0|6.8|376350|6.799890778824722|Action,Crime,Thriller|en
742716|tt0119038|nm0891554|Francis Veber|Le Dîner de Cons|1937.0|writer,director,producer|1998.0|80.0|7.6|40973|7.597769951499899|Comedy|fr
